timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,bytes,sentBytes,grpThreads,allThreads,Latency,SampleCount,ErrorCount,IdleTime,Connect
1.62E+09,1361,constituent-persons Affiliation Type id,200,OK,constituent-persons 1-1,text,TRUE,4062,273,1,1,1359,1,0,0,984
1.62E+09,4016,constituent-persons POST,200,OK,constituent-persons 1-1,text,TRUE,936,855,1,1,4016,1,0,0,0
1.62E+09,707,constituent-persons GET,200,OK,constituent-persons 1-1,text,TRUE,936,311,1,1,706,1,0,0,0
1.62E+09,3921,constituent-persons PUT,200,OK,constituent-persons 1-1,text,TRUE,1043,1693,1,1,3921,1,0,0,0
1.62E+09,1610,constituent-persons DELETE,200,OK,constituent-persons 1-1,text,TRUE,243,397,1,1,1610,1,0,0,0
1.62E+09,978,constituent-organizations Advancement Types POST,200,OK,constituent-organizations 2-1,text,TRUE,10544,276,1,1,978,1,0,0,694
1.62E+09,1227,constituent-organizations POST,200,OK,constituent-organizations 2-1,text,TRUE,837,618,1,1,1227,1,0,0,0
1.62E+09,567,constituent-organizations GET,200,OK,constituent-organizations 2-1,text,TRUE,837,317,1,1,567,1,0,0,0
1.62E+09,4384,constituent-organizations PUT,200,OK,constituent-organizations 2-1,text,TRUE,1021,1475,1,1,4384,1,0,0,0
1.62E+09,814,constituent-organizations DELETE,200,OK,constituent-organizations 2-1,text,TRUE,243,403,1,1,814,1,0,0,0
1.62E+09,938,constituent-education Campus id,200,OK,constituent-education 3-1,text,TRUE,1120,261,1,1,938,1,0,0,667
1.62E+09,655,constituent-education POST,200,OK,constituent-education 3-1,text,TRUE,638,597,1,1,655,1,0,0,0
1.62E+09,444,constituent-education GET,200,OK,constituent-education 3-1,text,TRUE,638,313,1,1,444,1,0,0,0
1.62E+09,924,constituent-education PUT,200,OK,constituent-education 3-1,text,TRUE,766,1023,1,1,924,1,0,0,0
1.62E+09,503,constituent-education DELETE,200,OK,constituent-education 3-1,text,TRUE,242,399,1,1,503,1,0,0,0
1.62E+09,942,constituent-involvements Participation id,200,OK,constituent-involvements 4-1,text,TRUE,1502,287,1,1,942,1,0,0,670
1.62E+09,405,constituent-involvements POST,200,OK,constituent-involvements 4-1,text,TRUE,718,576,1,1,405,1,0,0,0
1.62E+09,257,constituent-involvements GET,200,OK,constituent-involvements 4-1,text,TRUE,718,316,1,1,257,1,0,0,0
1.62E+09,467,constituent-involvements PUT,200,OK,constituent-involvements 4-1,text,TRUE,850,1147,1,1,467,1,0,0,0
1.62E+09,333,constituent-involvements DELETE,200,OK,constituent-involvements 4-1,text,TRUE,243,402,1,1,333,1,0,0,0
1.62E+09,1077,constituent-person-business-relationships directRelationship id,200,OK,constituent-person-business-relationships 5-1,text,TRUE,4511,295,1,1,1077,1,0,0,707
1.62E+09,498,constituent-person-business-relationships POST,200,OK,constituent-person-business-relationships 5-1,text,TRUE,723,1288,1,1,498,1,0,0,0
1.62E+09,289,constituent-person-business-relationships GET,200,OK,constituent-person-business-relationships 5-1,text,TRUE,723,333,1,1,289,1,0,0,0
1.62E+09,644,constituent-person-business-relationships PUT,200,OK,constituent-person-business-relationships 5-1,text,TRUE,723,1026,1,1,644,1,0,0,0
1.62E+09,361,constituent-person-business-relationships DELETE,200,OK,constituent-person-business-relationships 5-1,text,TRUE,242,419,1,1,361,1,0,0,0
